number,meters
250001113795,6.4
250001113799,0
250001113800,7.25
250001113802,12.8
250001113803,12.8
250001113804,13.4
250001113805,6.7
250001113806,3.2
250001113807,10.88
250001113808,12.8
250001113809,12.8
250001113810,6.7
250001113811,9.6
250001113812,6.4
250001113813,11.48
250001113814,12.8
250001113815,12.8
250001113817,7.68
250001113818,0
250001113819,6.4
250001113820,9.6
250001113821,12.16
250001113825,13.4
250001113827,12.8
250001113829,3.29
250001113830,10.2
250001113831,12.8
250001113832,13.4
250001113833,12.8
250001113834,13.4
250001113836,12.8
250001113837,12.8
250001113838,11.73
250001113840,12.8
250001113841,10.24
250001113842,12.8
250001113843,12.8
250001113844,7.53
250001113845,6.15
250001113846,10.24
250001113847,12.81
250001113848,11
250001113849,11.04
250001113850,13.4
250001113851,13.4
250001113853,7.37
250001113854,13.6
250001113855,10.08
250001113856,3.7
250001113857,13.4
250001113858,7.2
250001113859,12.81
250001113861,8.93
250001113862,9.6
250001113863,4.47
250001113868,2.12
250001113876,0.15
250001113878,13.4
250001113881,9.79
250001113885,10.72
250001113889,6.25
250001113890,6.9
250001113892,2.4
250001113894,9.41
250001113895,6.7
250001113896,12.8
250001113898,13.6
250001113905,13.4
250001113906,12.8
250001113907,13.4
250001113908,8.2
250001113911,13.4
250001113914,5.03
250001113915,12.8
250001113916,13.4
250001113920,12.8
250001113932,6.4
250001113937,6.67
250001113940,13.4
250001113943,6.6
250001113948,12.8
250001113951,2
250001113952,4.53
250001113953,13.4
250001113954,4.5
250001113956,8.8
250001113958,6.7
250001113959,12.8
250001113960,2.2
250001113961,3.2
250001113965,6.7
250001113967,5.5
250001113969,7.83
250001113972,12.8
250001113973,13.4
250001113976,6.7
250001113977,13.4
250001113978,9.4
250001113983,4.5
250001113997,13.4
250001114003,12.8
250001114010,14.4
250001114014,12.8
250001114015,3.3
250001114016,6.4
250001114017,4.47
250001114018,12.8
250001114019,9.6
250001114020,6
250001114021,6.8
250001114022,12.8
250001114023,6.33
250001114024,6
250001114025,6.4
250001114026,5.6
250001114027,12.8
250001114029,3.5
250001114032,4.5
250001114033,9.5
250001114035,0
250001114036,6.4
250001114037,12.8
250001114040,9.6
250001114041,13.2
250001114042,12.8
250001114043,10.05
250001114044,8.5
250001114050,10.7
250001114056,8.93
250001114058,2.13
250001114060,12.8
250001114069,0.4
250001114071,3.5
250001114073,1.5
250001114074,8.25
250001114075,1
250001114076,2.7
250001114078,8
250001114079,9.6
250001114081,1.9
250001114082,1
250001114083,12.8
250001114084,0.1
250001114086,0.3
250001114087,12.8
250001114089,13.4
250001114091,6.83
250001114092,13.4
250001114093,10.9
250001114101,5.68
250001114104,0.69
250001114106,12.8
250001114109,9.76
250001114112,10.25
250001114113,12.3
250001114114,3.38
250001114115,8.2
250001114116,9.6
250001114117,12.8
250001114119,5.01
250001114126,7.93
250001114138,4.51
250001114141,13.4
250001114150,4.75
250001114153,12.8
250001114161,8.1
250001114170,7.27
250001114171,12.8
250001114172,12.8
250001114173,3.48
250001114175,8.04
250001114176,13.4
250001114177,11.43
250001114182,9.6
250001114183,9.81
250001114188,13.4
250001114190,9.84
250001114191,10.05
250001114193,6.7
250001114194,0
250001114196,11.5
250001114197,10.2
250001114199,13.4
250001114201,15.4
250001114203,13.6
250001114204,1.2
250001114205,8.7
250001114206,10.5
250001114207,9.6
250001114224,7.7
250001114225,7
250001114226,5.93
250001114227,6.15
250001114228,13.6
250001114229,8.87
250001114233,13.4
250001114234,5.7
250001114235,9.9
250001114236,6.4
250001114237,10
250001114238,8
250001114239,6.4
250001114242,12.51
250001114243,3.39
250001114248,9.6
250001114252,7.4
250001114266,13.08
250001114273,13.6
250001114274,4.2
250001114290,6.65
250001114291,13.4
250001114302,7
250001114304,13.6
250001114305,7.8
250001114306,6.44
250001114310,13.4
250001114313,8.45
250001114314,11.81
250001114315,5.86
250001114316,6.67
250001114319,12.8
250001114324,13.4
250001114325,10.2
250001114326,12.8
250001114327,12.8
250001114333,13.4
250001114335,10
250001114339,13.2
250001114341,1.6
250001114343,0.5
250001114349,13.4
250001114350,13.4
250001114352,6.7
250001114354,7.27
250001114361,2.3
250001114362,13.4
250001114375,13.72
250001114376,6.9
250001114380,3.2
250001114381,3.2
250001114383,0
250001114384,9.98
250001114386,13.6
250001114387,13.6
250001114388,13.6
250001114389,13.6
250001114390,13.4
250001114391,12
250001114392,6.52
